,Index,Coding Question #,Question Label,Question Text,Question Response,Answer Value
0,0,coding3_q0,First Party Collection/Use - Does/Does Not,Use this optional attribute to denote if the policy explicitly states that something is NOT done. Defaults to Does.,[Does] - The first party does engage in the described practice.,Does
1,0,coding3_q0,First Party Collection/Use - Does/Does Not,Use this optional attribute to denote if the policy explicitly states that something is NOT done. Defaults to Does.,[Does Not] - The first party does not engage in the described practice.,Does Not
2,1,coding3_q1,First Party Collection/Use - Collection Mode,"Use this optional attribute to denote if the data collection performed by the first party is implicit (e.g., company collects information without user's explicit awareness) or explicit (e.g., user provides information). Defaults to “not selected.”","[Explicit] - The company/organization collects or uses information that the user explicitly provides, e.g., the user enters information in a web form.",Explicit
3,1,coding3_q1,First Party Collection/Use - Collection Mode,"Use this optional attribute to denote if the data collection performed by the first party is implicit (e.g., company collects information without user's explicit awareness) or explicit (e.g., user provides information). Defaults to “not selected.”","[Implicit] - The company/organization collects or uses information that the user does not explicitly provide, e.g., data is collected or transferred automatically in the background. The user may or may not have given consent to such implicit collection/use.",Implicit
4,1,coding3_q1,First Party Collection/Use - Collection Mode,"Use this optional attribute to denote if the data collection performed by the first party is implicit (e.g., company collects information without user's explicit awareness) or explicit (e.g., user provides information). Defaults to “not selected.”",[Unspecified] - It is not specified or unclear whether the information is collected explicitly or implicitly.,Unspecified
5,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?",[Collect on website] - The company/organization collects user information directly on the website.,Collect on website
6,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?",[Collect in mobile app] - The company/organization has a mobile app and it collects user information through that platform.,Collect in mobile app
7,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?",[Collect on mobile website] - The company/organization has a mobile version of its website through which it collects user information. This value is only needed if the policy explicitly distinguishes between its normal and mobile websites.,Collect on mobile website
8,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?","[Track user on other websites] - The company/organization tracks its users’ activities when they visit other websites, typically without the user being aware of it.",Track user on other websites
9,2,coding3_q2,First Party Collection/Use - Action First-Party,"How does the first party collect, track, or obtain user information?","[Collect from user on other websites] - This company/organization (the first party) has a widget or element on other websites, in which the user can explicitly provide data to the first party while being on the other website. For example, Facebook users can comment on news or other content on different websites and Facebook collects that data.",Collect from user on other websites
