,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value
0,0,coding7_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 0 ] - no,0
1,0,coding7_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 1 ] - yes,1
2,0,coding7_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.","[ N/A ] - Not applicable (e.g., there is no registration option)",N/A
3,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 1 ] - hyperlinked, at the bottom of the main page (Specht)",1
4,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 2 ] - visibly located on the main page, but no click required to accept, and no notice that privacy policy must be agreed upon (Nguyen v. Barnes and Noble)",2
5,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 3 ] - visible on the main page, with notice that user must agree to it, but no clicking requirement to agree (Rodman v. Safeway)",3
6,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 4 ] - visible on main page, with a “sign in” wrap that doesn't unambiguously inform the user that clicking signifies assent to Privacy Policy. (Berkson v. Gogo)",4
7,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 5 ] - visible on main page, with a hyperlinked Privacy Policy and a requirements that the user unambiguously click on “I agree” to PP. (Fteja v. Facebook)",5
8,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 6 ] - visible on main page, with a Privacy Policy on a scroll down box  and a requirements that the user unambiguously click on “I agree” to PP.",6
9,1,coding7_q1,v0_2020,multiselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]",[ 7 ] - Registration is not an option on this site,7
