,Index,Coding Question #,Question Label,Question Text,OTHER,FMW
72,0,coding2_0,Notice,"Privacy Policy (PP) is accessible through a direct link from the homepage?   
0=no
1=yes",2 oages away from home page,False
40,1,coding2_1,Notice - Access,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap?  Accepting PP through use is not manifested consent. 
0=no
1=yes",unsure,False
26,1,coding2_1,Notice - Access,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap?  Accepting PP through use is not manifested consent. 
0=no
1=yes",0,False
15,1,coding2_1,Notice - Access,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap?  Accepting PP through use is not manifested consent. 
0=no
1=yes",unsure,False
24,16,coding2_16,Notice - 3rd parties,"third party tracking: site allows third parties to place advertisements that may track user behavior? 
0=no
1=yes
DND='does not disclose'",False,False
8,17,coding2_17,Notice - 3rd parties,"PP identifies recipients of shared or sold data?
0=gen'l ID (""trusted 3rd parties""
 does not disclose = No in this context)
1=specific/named identification",sometimes specifies,False
16,24,coding2_24,Sharing - 3rd parties,"Third party Sharing: Does company share PII information with third parties? 
0=no
1=yes",under certain circumstances,False
68,29,coding2_29,Sharing - Consent,"What is consent mechanism for sharing/selling PII or sensitive information (except for the purpose of effecting, administering, or enforcing a transaction, sending future correspondence to user, research, internal database compilation, servicing website)? (DND = 0)
0=mandatory
1=opt-out
2=opt-in
.=N/A",Will not sell information,False
73,33,coding2_33,Notice - Change of Terms,"How will user be given notice of change to PP?
0=no notice
1=""at our discretion"" or similar or ""may""
2=link on homepage or notice+link on homepage
3=email, notification upon signing into account, or other specific method likely to alert user
.=n/a
DND",,False
17,34,coding2_34,Notice - Change of Terms,"PP requires user to explicitly assent to material changes?  
0=no
1=yes
.=N/A",for changes that reduce users' rights,False
49,35,coding2_35,Notice - Change of Terms,"PP states that material changes are retroactive?
0=no
1=yes (applies to data made before the change)",only with consent,False
66,35,coding2_35,Notice - Change of Terms,"PP states that material changes are retroactive?
0=no
1=yes (applies to data made before the change)",Does not state,False
50,37,coding2_37,User Control - Accuracy,"Are users allowed to access and correct personal data collected?
0=no
1=Can access data
2=Can access and correct data
3=Can access and correct data, and 3rd parties notified of correction",by request,False
18,46,coding2_46,User Control - Termination,"What happens to data if entity ceases to exist?
0=sold w/company or otherwise distributed/disclosed
1=sold but given continued protection under same PP
2=destroyed, anonymized, etc.
DND",confidentiality ensured; notice before PII is transferred,False
41,49,coding2_49,Data Practices  - Retention,"PP states time limit for data retention (esp when account is deleted)?
0=no
Yes= # of months (data is destroyed or anonymized after specific period of time)",,False
39,49,coding2_49,Data Practices  - Retention,"PP states time limit for data retention (esp when account is deleted)?
0=no
Yes= # of months (data is destroyed or anonymized after specific period of time)",depends,False
64,5,coding2_5,Notice - Type of Data Collected ,"Interactive Information Collected and Stored? (browsing behavior or search history; clickstream data)
0=no
1=yes
DND='does not disclose'",False,False
30,50,coding2_50,User Control  - Termination,"If user quits site, what happens to personal data?
0=retained and treated as if user is still using service
1=Retained  but modified
2 =deleted/anonymized
DND",Deleted except in specified circumstances,False
19,50,coding2_50,User Control  - Termination,"If user quits site, what happens to personal data?
0=retained and treated as if user is still using service
1=Retained  but modified
2 =deleted/anonymized
DND",not super clear,False
27,56,coding2_56,Enforcement  - Dispute Resolution,"PP has choice of law clause?  If so, which law? (Look in TOU as well)
0=no
1=yes",Texas,False
20,59,coding2_59,Enforcement  - Liability,"PP disclaims liability for failure of security mesaures? 
0=no
1=yes",,False
31,62,coding2_62,Privacy By Design - Oversight,"PP requires periodic complicance review of structural and technological data security measures? 
0=no
1=yes","does not seem to be required, but sounds like review occurs",False
44,62,coding2_62,Privacy By Design - Oversight,"PP requires periodic complicance review of structural and technological data security measures? 
0=no
1=yes","""legal requirements""",False
25,66,coding2_66,CCPA - Notice,"Has California Privacy Rights Section? 
1=Yes, 0=No",0,False
42,66,coding2_66,CCPA - Notice,"Has California Privacy Rights Section? 
1=Yes, 0=No",0,False
21,66,coding2_66,CCPA - Notice,"Has California Privacy Rights Section? 
1=Yes, 0=No",no,False
38,66,coding2_66,CCPA - Notice,"Has California Privacy Rights Section? 
1=Yes, 0=No",0,False
43,66,coding2_66,CCPA - Notice,"Has California Privacy Rights Section? 
1=Yes, 0=No",0,False
22,67,coding2_67,CCPA - Notice,"Directs CA Residents to that section when describing general (non-california exclusive) data practices? 
1=yes
 0=no",n/a,False
23,68,coding2_68,CCPA - Notice,"Describes to California Residents their rights under the ""shine the light"" act, explicitly?
1=yes
 0=no",,False
51,69,coding2_69,CCPA - Notice,"Personal Information Request: Offers CA residents an opportunity to request all information shared with third parties in the last year?
1=yes
 0=no",,False
45,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",1,False
54,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",2,False
60,70,coding2_70,CCPA - Notice,"Offers California residents a direct link via which to contact site and request information? 
0= contact info in different section, 1=contact info in same section, 2=direct link included in same section)",1,False
