,Question Identifier,Question Text,Company,Policy Instance ID,Policy,Section Identifier,Sentence Identifier,Sentence
0,2,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures what any user would see on the landig page; it measures visibility without registration or when registration is not an option],EU google.com,363,tos,255,0,•  [Privacy](privacy?gl=IE&hl=en)
1,2,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures what any user would see on the landig page; it measures visibility without registration or when registration is not an option],EU google.com,363,privacy_policy,5,0,•  [Privacy Policy](privacy?gl=IE&hl=en)
2,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,208,0,§ European requirements
3,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,209,0,"If European Union (EU) or United Kingdom (UK) data protection law applies to the processing of your information, we provide the controls described in this policy so you can exercise your right to request access to, update, remove, and restrict the processing of your information"
4,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,209,1,You also have the right to object to the processing of your information or export your information to another service
5,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,212,0,§ With your consent
6,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,213,1,"For example, we ask for your consent to provide you with personalized services, such as ads based on your interests"
7,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,213,0,We ask for your agreement to process your information for specific purposes and you have the right to withdraw your consent at any time
8,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,213,2,We also ask for your consent to collect your voice and audio activity for speech recognition
9,6,"Are users given the option of withdrawing their consent to the collection of information in any clause in the contract, or are notified of this before entering the contract? (e.g., this would be satisfied when the firm allows the user to withdraw their consent by changing their account settings, or contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",EU google.com,363,privacy_policy,213,3,You can manage these settings in your  [Google Account](https://myaccount.google.com/)
10,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,74,0,"We use various technologies to collect and store information, including  [cookies](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-cookies-and-similar-technologies) ,  [pixel tags](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-pixel) , local storage, such as  [browser web storage](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-browser-storage)  or  [application data caches](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-application-data-cache) , databases, and  [server logs](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-server-logs)"
11,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,175,0,"We may share  [non-personally identifiable information](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-info)  publicly and with our partners — like publishers, advertisers, developers, or rights holders"
12,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,175,1,"For example, we share information publicly to  [show trends](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-trends)  about the general use of our services"
13,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,175,2,We also allow  [specific partners](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-specific-partners)  to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies
14,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,259,0,•  [How Google uses cookies](https://policies.google.com/technologies/cookies)
15,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,272,0,§ Cookies
16,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,273,0,A cookie is a small file containing a string of characters that is sent to your computer when you visit a website
17,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,273,1,"When you visit the site again, the cookie allows that site to recognize your browser"
18,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,273,3,You can configure your browser to refuse all cookies or to indicate when a cookie is being sent
19,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,273,2,Cookies may store user preferences and other information
20,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,273,4,"However, some website features or services may not function properly without cookies"
21,8,"Does the company have a cookie policy? (note ""Yes"" if the company has a stated cookie policy (e.g., a section in the privacy policy explaining its cookie policy) or offers link to a document with it, or if there is an attached cookie policy in the coding tool)",EU google.com,363,privacy_policy,273,5,"Learn more about  [how Google uses cookies](https://policies.google.com/technologies/cookies)  and how Google uses data, including cookies,  [when you use our partners' sites or apps](https://policies.google.com/technologies/partner-sites)"
22,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,74,0,"We use various technologies to collect and store information, including  [cookies](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-cookies-and-similar-technologies) ,  [pixel tags](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-pixel) , local storage, such as  [browser web storage](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-browser-storage)  or  [application data caches](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-application-data-cache) , databases, and  [server logs](https://policies.google.com/privacy/archive/20200331?gl=IE&hl=en#footnote-server-logs)"
23,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,268,0,§ Application data cache
24,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,269,1,"It can, for example, enable a web application to run without an internet connection and improve the performance of the application by enabling faster loading of content"
25,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,269,0,An application data cache is a data repository on a device
26,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,270,0,§ Browser web storage
27,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,271,1,"When used in ""local storage"" mode, it enables data to be stored across sessions"
28,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,271,0,Browser web storage enables websites to store data in a browser on a device
29,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,271,2,This makes data retrievable even after a browser has been closed and reopened
30,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,271,3,One technology that facilitates web storage is HTML 5
31,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,284,0,§ Pixel tag
32,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,285,0,"A pixel tag is a type of technology placed on a website or within the body of an email for the purpose of tracking certain activity, such as views of a website or when an email is opened"
33,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,285,1,Pixel tags are often used in combination with cookies
34,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,290,0,§ Server logs
35,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,291,0,"Like most websites, our servers automatically record the page requests made when you visit our sites"
36,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,291,1,"These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser"
37,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,301,0,§ Unique identifiers
38,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,302,0,"A unique identifier is a string of characters that can be used to uniquely identify a browser, app, or device"
39,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,302,1,"Different identifiers vary in how permanent they are, whether they can be reset by users, and how they can be accessed"
40,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,303,0,"Unique identifiers can be used for various purposes, including security and fraud detection, syncing services such as your email inbox, remembering your preferences, and providing personalized advertising"
41,9,"Does the company explicitly state they use tracking elements other than cookies? (e.g. ""local storage cookies"", ""browser fingerprints"")?",EU google.com,363,privacy_policy,303,1,"For example, unique identifiers stored in cookies help sites display content in your browser in your preferred language"
