,Question Type,coding_1,coding_2,coding_3,coding_4,coding_5,coding_6,coding_7,coding_8,coding_9,coding_10,coding_11
0,First Party Collection/Use - Choice Scope,no,no,yes,no,no,no,no,no,no,no,no
1,Notice - Withdrawal of Consent (GDPR),no,no,no,no,no,yes,yes,yes,yes,yes,yes
2,[ 3 ] - all users regardless of subscription (or at least some non subscribers) [Use this attribute if the practice applies specifically to users with or without an account],no,no,no,no,no,yes,yes,yes,yes,yes,no
3,"[ 11 ] - Generic/ No specifics [The policy makes generic security statements, e.g., “we protect your data” or “we use technology/encryption to protect your data"" without any specifics.]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
4,Third Party Collection,yes,no,no,no,no,no,no,no,no,no,no
5,COVID ,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
6,[ 2 ] - Export (portability) [GDPR required] [Users can export their information to other services or download it to own computer.],no,no,no,no,no,yes,yes,yes,yes,yes,no
7,Notice - Action First Party,no,no,no,yes,yes,no,no,no,no,no,no
8,"[ 3 ] - Track on first party website/app [The third party implicitly collects data about users directly on the first party website/app, typically without the user being aware of it, e.g., by tracking users with cookies, beacons, third party ad libraries, or other functionality.</description>]",no,no,no,no,no,yes,yes,yes,yes,yes,no
9,CCPA - Data Choices,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
10,[ 9 ] - conducting regular data protection impact assessments [GDPR],no,no,no,no,no,yes,yes,yes,yes,yes,yes
11,Notice - third parties,no,yes,no,no,no,no,no,no,no,no,no
12,PP describe new rights afforded California residen...,no,yes,no,no,no,no,no,no,no,no,no
13,Third Party Sharing/Collection - User Type,no,no,yes,no,no,no,no,no,no,no,no
14,"[ 5 ] - Analytics/Research,[For understanding the website/app’s audience, improving the website/app, inform company strategy, or general research]",no,no,no,no,no,yes,yes,yes,yes,yes,no
15,[ 6 ] - Privacy review/audit [Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors],no,no,no,no,no,yes,yes,yes,yes,yes,yes
16,User Choice/Control - User Type,no,no,yes,no,no,no,no,no,no,no,no
17,[ 10 ] - Other,no,no,no,no,no,yes,yes,yes,yes,yes,yes
18,Policy Change - User Choice,no,no,yes,no,no,no,no,no,no,no,no
