,Index,Coding Question #,Question Identifier,Question Type,Question Label,Question Text,Question Response,Answer Value,amazon.co.uk,EU google.com
0,0,coding11_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 0 ] - no,0,0,0
1,0,coding11_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.",[ 1 ] - yes,1,0,0
2,0,coding11_q0,v2_2020_txt,singleselect,Notice of Contract - Consent and Registration,"Users are asked to manifest consent to PP when they sign up for service/site via clickwrap (i.e., Click ""I agree"" button or similar)?  Accepting PP through use is not manifested consent.","[ N/A ] - Not applicable (e.g., there is no registration option)",N/A,0,2
3,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 1 ] - hyperlinked, at the bottom of the main page (Specht)",1,0,0
4,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 2 ] - visibly located on the main page, but no click required to accept, and no notice that privacy policy must be agreed upon (Nguyen v. Barnes and Noble)",2,0,0
5,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 3 ] - visible on the main page, with notice that user must agree to it, but no clicking requirement to agree (Rodman v. Safeway)",3,0,0
6,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 4 ] - visible on main page, with a “sign in” wrap that doesn't unambiguously inform the user that clicking signifies assent to Privacy Policy. (Berkson v. Gogo)",4,0,0
7,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 5 ] - visible on main page, with a hyperlinked Privacy Policy and a requirements that the user unambiguously click on “I agree” to PP. (Fteja v. Facebook)",5,0,0
8,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]","[ 6 ] - visible on main page, with a Privacy Policy on a scroll down box  and a requirements that the user unambiguously click on “I agree” to PP.",6,0,0
9,1,coding11_q1,v0_2020.1,singleselect,Notice of Contract- Registration and Salience,"For potential registrants (i.e., when you are trying to sign up): How salient is the PP on registration page? [go to main page to check--use incognito browser and look at how PP is presented for users who want to register]",[ 7 ] - Registration is not an option on this site,7,0,0
10,2,coding11_q2,v1_2020,singleselect,Notice of Contract - PP Accessibility on Site,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures what any user would see on the landig page; it measures visibility without registration or when registration is not an option],[ 0 ] - no,0,0,0
11,2,coding11_q2,v1_2020,singleselect,Notice of Contract - PP Accessibility on Site,Privacy Policy (PP) is accessible through a direct link from the homepage? [this measures what any user would see on the landig page; it measures visibility without registration or when registration is not an option],[ 1 ] - yes,1,0,0
12,3,coding11_q3,v2.1_2020,singleselect,Notice of Contract - Salience of Consent to Cookies,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 0 ] - no,0,0,0
13,3,coding11_q3,v2.1_2020,singleselect,Notice of Contract - Salience of Consent to Cookies,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 1 ] - yes,1,0,0
14,3,coding11_q3,v2.1_2020,singleselect,Notice of Contract - Salience of Consent to Cookies,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 2 ] - other,2,0,0
15,4,coding11_q4,v2.2_2020,singleselect,Notice of Contract- Salience of Consent to Communications and Marketing,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to receiving communications and marketing when on the company's website? (e.g., emails from the firm with promotions, etc.)",[ 0 ] - no,0,0,0
16,4,coding11_q4,v2.2_2020,singleselect,Notice of Contract- Salience of Consent to Communications and Marketing,"Are users asked to manifest unambiguous consent (such as clicking in a non-pre checked ""I agree"" box during a visit to the site) to receiving communications and marketing when on the company's website? (e.g., emails from the firm with promotions, etc.)",[ 1 ] - yes,1,0,0
