,Index,Coding Question #,Question Type,Question Text,Question Response,Answer Value
0,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],0,0
1,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],"[ 1 ] - hyperlinked, at the bottom of the main page (Specht)",1
2,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],"[ 2 ] - visibly located on the main page, but no click required to accept, and no notice that privacy policy must be agreed upon (Nguyen v. Barnes and Noble)",2
3,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],"[ 3 ] - visible on the main page, with notice that user must agree to it, but no clicking requirement to agree (Rodman v. Safeway)",3
4,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],"[ 4 ] - visible on main page, with a “sign in” wrap that doesn’t unambiguously inform the user that clicking signifies assent to Privacy Policy. (Berkson v. Gogo)",4
5,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],"[ 5 ] - visible on main page, with a hyperlinked Privacy Policy and a requirements that the user unambiguously click on “I agree” to PP. (Fteja v. Facebook)",5
6,0,coding4_q0,Notice,How salient is the PP on the main webpage? [go to main page to check],"[ 6 ] - visible on main page, with a Privacy Policy on a scroll down box  and a requirements that the user unambiguously click on “I agree” to PP.",6
7,1,coding4_q1,Notice,Privacy Policy (PP) is accessible through a direct link from the homepage?,[ 0 ] - no,0
8,1,coding4_q1,Notice,Privacy Policy (PP) is accessible through a direct link from the homepage?,[ 1 ] - yes,1
9,2,coding4_q2,Notice - Consent,Users are asked to manifest consent to PP when they sign up for service/site via clickwrap?  Accepting PP through use is not manifested consent.,[ 0 ] - no,0
10,2,coding4_q2,Notice - Consent,Users are asked to manifest consent to PP when they sign up for service/site via clickwrap?  Accepting PP through use is not manifested consent.,[ 1 ] - yes,1
11,3,coding4_q3,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 0 ] - no,0
12,3,coding4_q3,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 1 ] - yes,1
13,3,coding4_q3,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to cookies and trackers when on the company's website?",[ 2 ] - other,2
14,4,coding4_q4,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to receiving communications and marketing when on the company's website?",[ 0 ] - no,0
15,4,coding4_q4,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to receiving communications and marketing when on the company's website?",[ 1 ] - yes,1
16,4,coding4_q4,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to receiving communications and marketing when on the company's website?",[ 2 ] - other,2
17,5,coding4_q5,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to the collection and processing of their information?",[ 0 ] - no,0
18,5,coding4_q5,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to the collection and processing of their information?",[ 1 ] - yes,1
19,5,coding4_q5,Notice - Consent,"Are users asked to manifst unambigous consent (such as clicking in a non-pre checked ""I agree"" box) to the collection and processing of their information?",[ 2 ] - other,2
20,6,coding4_q6,Notice - Consent,"Are users given the option of withdrawing their consent to the collection of information? (e.g., when the firm alloes the user to withdraw their consent by changing their account settings and contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")",[ 0 ] - no,0
21,6,coding4_q6,Notice - Consent,"Are users given the option of withdrawing their consent to the collection of information? (e.g., when the firm alloes the user to withdraw their consent by changing their account settings and contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")","[ 1 ] - yes, and the clause provides an existence of the right and a summary of what that right involves",1
22,6,coding4_q6,Notice - Consent,"Are users given the option of withdrawing their consent to the collection of information? (e.g., when the firm alloes the user to withdraw their consent by changing their account settings and contacting the firm identifying which types of consent user is withdrawing from --consent to collection, sharing, etc, removing permissions from apps in ""settings"")","[ 2 ] - yes, but the clause only informes about the right but gives not detail about what that right involves or how to exercise it",2
23,7,coding4_q7,Notice - Access,"Is there layered notice or short notice? (i.e., are the key PP terms summarized in a box on top of the document or somewhere noticeable? Table of Contents does not qualify)",[ 0 ] - no,0
24,7,coding4_q7,Notice - Access,"Is there layered notice or short notice? (i.e., are the key PP terms summarized in a box on top of the document or somewhere noticeable? Table of Contents does not qualify)",[ 1 ] - yes,1
25,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 0 ] - no collection,0
26,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 1 ] - Collect on website,1
27,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 2 ] - Collect in mobile app,2
28,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 3 ] - Collect on mobile websiteTrack user on other websites,3
29,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 4 ] - Collect from user on other websites,4
30,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 5 ] - Receive from other parts of company/affiliates,5
31,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,"[ 6 ] - Receive from other service/third-party (unnamed),",6
32,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 7 ] - Receive from other service/third-party (named),7
33,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ 8 ] - other,8
34,8,coding4_q8,Notice - Action First Party,From where does the entity collect user information?,[ DND ] - does not disclosue,DND
35,9,coding4_q9,Notice - Type of Data Collected,"Contact Information Collected and Stored by entity? (name, postal address, email address, telephone number…)",[ 0 ] - no,0
36,9,coding4_q9,Notice - Type of Data Collected,"Contact Information Collected and Stored by entity? (name, postal address, email address, telephone number…)",[ 1 ] - yes,1
37,9,coding4_q9,Notice - Type of Data Collected,"Contact Information Collected and Stored by entity? (name, postal address, email address, telephone number…)",[ DND ] - DND,DND
38,10,coding4_q10,Notice - Type of Data Collected,"Computer Information Collected and Stored? (IP address, browswer type, or operating system, personal identifier, brand of computer or phone (if mobile))?",[ 0 ] - no,0
39,10,coding4_q10,Notice - Type of Data Collected,"Computer Information Collected and Stored? (IP address, browswer type, or operating system, personal identifier, brand of computer or phone (if mobile))?",[ 1 ] - yes,1
40,10,coding4_q10,Notice - Type of Data Collected,"Computer Information Collected and Stored? (IP address, browswer type, or operating system, personal identifier, brand of computer or phone (if mobile))?",[ DND ] - 'does not disclose',DND
41,11,coding4_q11,Notice - Type of Data Collected,"Interactive Information Collected and Stored? (browsing behavior or search history; clickstream data, user online activities)",[ 0 ] - no,0
42,11,coding4_q11,Notice - Type of Data Collected,"Interactive Information Collected and Stored? (browsing behavior or search history; clickstream data, user online activities)",[ 1 ] - yes,1
43,11,coding4_q11,Notice - Type of Data Collected,"Interactive Information Collected and Stored? (browsing behavior or search history; clickstream data, user online activities)",[ DND ] - 'does not disclose',DND
44,12,coding4_q12,Notice - Type of Data Collected,Financial Information Collected and Stored? (account status or activity; credit information; or purchase history),[ 0 ] - no,0
45,12,coding4_q12,Notice - Type of Data Collected,Financial Information Collected and Stored? (account status or activity; credit information; or purchase history),[ 1 ] - yes,1
46,12,coding4_q12,Notice - Type of Data Collected,Financial Information Collected and Stored? (account status or activity; credit information; or purchase history),[ . ] - n/a,.
47,12,coding4_q12,Notice - Type of Data Collected,Financial Information Collected and Stored? (account status or activity; credit information; or purchase history),[ DND ] - 'does not disclose',DND
48,13,coding4_q13,Notice - Type of Data Collected,"Content Information Collected and Stored? (contents of personal communications; stored documents, media, inc. photos)",[ 0 ] - no,0
49,13,coding4_q13,Notice - Type of Data Collected,"Content Information Collected and Stored? (contents of personal communications; stored documents, media, inc. photos)",[ 1 ] - yes,1
50,13,coding4_q13,Notice - Type of Data Collected,"Content Information Collected and Stored? (contents of personal communications; stored documents, media, inc. photos)",[ DND ] - 'does not disclose',DND
51,14,coding4_q14,Notice - Type of Data Collected,"Is any sensitive information collected and stored (medical info, race or ethnicity, religious beliefs or affiliation, sexual orientation or behavior, income or financial records, SSN)? (to extent you provide data, they collect)",[ 0 ] - no,0
52,14,coding4_q14,Notice - Type of Data Collected,"Is any sensitive information collected and stored (medical info, race or ethnicity, religious beliefs or affiliation, sexual orientation or behavior, income or financial records, SSN)? (to extent you provide data, they collect)",[ 1 ] - yes,1
53,14,coding4_q14,Notice - Type of Data Collected,"Is any sensitive information collected and stored (medical info, race or ethnicity, religious beliefs or affiliation, sexual orientation or behavior, income or financial records, SSN)? (to extent you provide data, they collect)",[ DND ] - 'does not disclose',DND
54,15,coding4_q15,Notice - Type of Data Collected,"Geolocation information is collected and stored, including from bluetooth? (IP address does not count)?",[ 0 ] - no,0
55,15,coding4_q15,Notice - Type of Data Collected,"Geolocation information is collected and stored, including from bluetooth? (IP address does not count)?",[ 1 ] - yes,1
56,15,coding4_q15,Notice - Type of Data Collected,"Geolocation information is collected and stored, including from bluetooth? (IP address does not count)?",[ . ] - n/a,.
57,15,coding4_q15,Notice - Type of Data Collected,"Geolocation information is collected and stored, including from bluetooth? (IP address does not count)?",DND=does not disclose,DND
