,Question Type,coding_1,coding_2,coding_3,coding_4,coding_5,coding_6,coding_7,coding_8,coding_9,coding_10,coding_11
0,[ 2 ] - user with an account [This data practice specifically applies to users with an account or who are registered with the website or mobile app.],no,no,no,no,no,yes,yes,yes,yes,yes,no
1,First Party Collection/Use - Action First-Party,no,no,yes,no,no,no,no,no,no,no,no
2,Notice - third parties,no,yes,no,no,no,no,no,no,no,no,no
3,First Party Collection/Use - Personal Information Type,no,no,yes,no,no,no,no,no,no,no,no
4,"[ 8 ] - Legal requirement [For compliance with legal obligations, e.g., regulations, government data requests, government retention requests, law enforcement requests in general, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
5,Contract - Contract,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
6,[ 0 ] - no opportunity for express consent,no,no,no,no,no,yes,yes,yes,yes,yes,yes
7,"[ 1 ] - Basic service/ feature [Provide a service that the user explicitly requests and that is part of the website/app's basic service or functionality. Examples are watching a video, reading an article, making a purchase, creating an account, contacting the company/organization, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
8,"[ 2 ] - Secure user authentication [User authentication, e.g., login to a user account, is encrypted/secured]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
9,"[ 2 ] - Health, [Health Information, such as information about health conditions, prescriptions, medication, as well as health monitoring data, e.g., heart rate, step count, activity level, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
10,"[ 8 ] - User Profile [The user’s profile on the first-party website/app and its contents, e.g., data in user profile, data that user uploaded to website, user comments, user profile preferences, etc. This is common for websites/apps where users can create an account or profile, e.g., on twitter, youtube, Facebook, Amazon, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
11,CCPA- Disclosures,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
12,Data Practices  - Retention,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
13,"User Access, Edit and Deletion - User Type",no,no,yes,no,no,no,no,no,no,no,no
14,COVID ,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
15,Policy Change Notification,yes,no,no,no,no,no,no,no,no,no,no
16,GDPR - Notice,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
17,"[ 4 ] - Data access limitation (""access controls"" under GDPR) [Data is accessible to employees/third parties on a need-to-know basis]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
18,[ 4 ] - Other [How the third party collects or receives user information is specified in the policy but it is not covered by the options above],no,no,no,no,no,yes,yes,yes,yes,yes,no
19,User Control -Types of Access,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
20,First Party Collection/Use - Choice Type,no,no,yes,no,no,no,no,no,no,no,no
21,[ 5 ] - advertising [To show ads that are either targeted to the specific user or not targeted],no,no,no,no,no,yes,yes,yes,yes,yes,no
22,Do Not Track,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
23,Notice - Action First Party,no,no,no,yes,yes,no,no,no,no,no,no
24,"[ 16 ] - Social Media Data [User profile and data from a social media website/app or other third party service to which the user gave the first party access, e.g., by connecting with Facebook, twitter, or other services. Exchanged data may include user profile, photos, comments, friends, etc.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
25,Notice - Consent and Registration,no,no,no,no,yes,no,no,no,no,no,no
26,"[ 4 ] - Marketing [To contact the user to offer products,services, or other promotions (e.g., send marketing emails, calling or texting user with marketing messages). Marketing typically requires the use of contact information]",no,no,no,no,no,yes,yes,yes,yes,yes,no
27,"[ 1 ] - Received/Shared with by firm/first party [The third party receives information from the first party. (i.e., the first party explicitly shares data with third-party]",no,no,no,no,no,yes,yes,yes,yes,yes,no
28,Third Party Sharing/Collection - Action Third Party,no,no,yes,no,no,no,no,no,no,no,no
29,Do Not Track - Do Not Track policy,no,no,yes,no,no,no,no,no,no,no,no
30,Notice - Registration and Salience,no,no,no,no,yes,no,no,no,no,no,no
31,"[ 13 ] - Generic personal information [No specific type of information is mentioned, but the policy talks about “personal information” or “personal identifiable information” in general.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
32,"[ 4 ] - Opt-out via contacting company, [Must contact company/organization via email, phone, postal mail to opt-out]",no,no,no,no,no,yes,no,no,yes,yes,no
33,Policy Change - Notification Type,no,no,yes,no,no,no,no,no,no,no,no
34,[ 8 ] - other [The specified type of collection is not covered by the options here],no,no,no,no,no,yes,yes,yes,yes,yes,no
35,Data Retention - Retention Purpose,no,no,yes,no,no,no,no,no,no,no,no
36,User Control  - Termination,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
37,User Choice,yes,no,no,no,no,no,no,no,no,no,no
38,User Control - Ownership,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
39,User Choice/Control - Choice Type,no,no,yes,no,no,no,no,no,no,no,no
40,[ 0 ] - no collection,no,no,no,no,no,yes,yes,yes,yes,yes,no
41,[ 5 ] - data shared with third parties ,no,no,no,no,no,yes,yes,yes,yes,yes,no
42,"[ 1 ] - Secure data transfer [Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
43,First Party Collection/Use - User Type,no,no,yes,no,no,no,no,no,no,no,no
44,Sharing - 3rd parties,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
45,[ 14 ] - Biometric information,no,no,no,no,no,yes,yes,yes,yes,yes,no
46,User Control - User Control,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
47,[ 8 ] - regular data audits [GDPR] [,no,no,no,no,no,yes,yes,yes,yes,yes,yes
48,"[ 11 ] - Generic/ No specifics [The policy makes generic security statements, e.g., “we protect your data” or “we use technology/encryption to protect your data"" without any specifics.]",no,no,no,no,no,yes,yes,yes,yes,yes,yes
49,User Choice/Control - User Type,no,no,yes,no,no,no,no,no,no,no,no
50,Notice of Contract - Salience of Consent to Cookies,no,no,no,no,no,yes,yes,yes,yes,yes,yes
51,User Control - Accuracy,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
52,"[ 6 ] - Delete account (full), [User can delete account and all of the user’s information is removed from company/organization’s servers/databases]",no,no,no,no,no,yes,yes,yes,yes,yes,no
53,"[ 2 ] - Additional service/feature  [Provide a service that the user explicitly requests but that is not a necessary part of the website/app's basic service. Additional services/features may enhance user experience or add convenience but require additional data, e.g., social media integration, comments, blog participation, a store finder that needs location information, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
54,Third Party Sharing/Collection - Identifiability,no,no,yes,no,no,no,no,no,no,no,no
55,"[ 7 ] - Browser/device privacy controls (if the PP specifies this as an option the user can adopt)[Policy suggests the use of browser’s or mobile device’s privacy settings, e.g., to block trackers or cookies, activate Do-Not-Track, disable location sharing, clear history, etc.]",no,no,no,no,no,yes,no,no,yes,yes,no
56,[ 6 ] - Privacy review/audit [Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors],no,no,no,no,no,yes,yes,yes,yes,yes,yes
57,Third Party Sharing/Collection - Choice Type,no,no,yes,no,no,no,no,no,no,no,no
58,"User Access, Edit and Deletion - Access Type",no,no,yes,no,no,no,no,no,no,no,no
59,[ 3 ] - all users regardless of subscription (or at least some non subscribers) [Use this attribute if the practice applies specifically to users with or without an account],no,no,no,no,no,yes,yes,yes,yes,yes,no
60,Policy Change - User Choice,no,no,yes,no,no,no,no,no,no,no,no
61,"User Access, Edit and Deletion - Access Scope",no,no,yes,no,no,no,no,no,no,no,no
62,Data Security,yes,no,no,no,no,no,no,no,no,no,no
63,placeholder,no,no,no,no,yes,no,yes,yes,no,no,no
64,User Control - Access Scope,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
65,International and Specific Audiences - Audience Type,no,no,yes,no,no,no,no,no,no,no,no
66,[ 0 ] - No access,no,no,no,no,no,yes,yes,yes,yes,yes,no
67,"[ 5 ] - Receive from other parts of company/affiliates [The company/organization is part of a family of companies/organizations or has subsidiaries (e.g., physical store, other websites that belong to same company). It receives user information from those other units.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
68,[ 2 ] - Collect in mobile app [The company/organization has a mobile app and it collects user information through that platform.],no,no,no,no,no,yes,yes,yes,yes,yes,no
69,Notice - Use of Data/Collection/Choice,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
70,"[ 7 ] - User online activities [The user's online activities on the first party website/app or other websites/apps, e.g., pages visited, time spent on pages, general user behavior online, etc]",no,no,no,no,no,yes,yes,yes,yes,yes,no
71,User Choice/Control - Choice Scope,no,no,yes,no,no,no,no,no,no,no,no
72,[ 9 ] - conducting regular data protection impact assessments [GDPR],no,no,no,no,no,yes,yes,yes,yes,yes,yes
73,CCPA - Stats,no,yes,no,no,no,no,no,no,no,no,no
74,First Party Collection/Use - Identifiability,no,no,yes,no,no,no,no,no,no,no,no
75,[ 1 ] - user without an account [This data practice specifically applies to users that do not have an account or are not registered with the website or mobile app.],no,no,no,no,no,yes,yes,yes,yes,yes,no
76,"[ 6 ] - Third-party privacy controls, [Choices provided by a third party (e.g., privacy settings on social media site, if logged in through social media site) or industry (e.g., AdChoices Opt-out)]",no,no,no,no,no,yes,no,no,yes,yes,no
77,Security - Accuracy,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
78,First Party Collection/Use - Choice Scope,no,no,yes,no,no,no,no,no,no,no,no
79,[ 5 ] - Privacy training [he company/organization trains its employees/third parties in applicable privacy and security practices to protect user data.],no,no,no,no,no,yes,yes,yes,yes,yes,yes
80,"[ 9 ] - IP address and device IDs [Permanent (e.g., device IDs, MAC address) or temporary (e.g., IP address) identifiers needed to establish a connection for the current browsing session]",no,no,no,no,no,yes,yes,yes,yes,yes,no
81,"[ 9 ] - Track user on other websites [The company/organization tracks its users’ activities when they visit other websites, typically without the user being aware of it.]",no,no,no,no,no,yes,yes,yes,yes,yes,no
